in s,C1 in V
-5.6816E-05,4.948E+00
-5.6800E-05,4.958E+00
-5.6784E-05,4.909E+00
-5.6768E-05,4.938E+00
-5.6752E-05,4.929E+00
-5.6736E-05,4.938E+00
-5.6720E-05,4.899E+00
-5.6704E-05,4.929E+00
-5.6688E-05,4.919E+00
-5.6672E-05,4.919E+00
-5.6656E-05,4.909E+00
-5.6640E-05,4.909E+00
-5.6624E-05,4.909E+00
-5.6608E-05,4.929E+00
-5.6592E-05,4.909E+00
-5.6576E-05,4.890E+00
-5.6560E-05,4.929E+00
-5.6544E-05,4.948E+00
-5.6528E-05,4.899E+00
-5.6512E-05,4.899E+00
-5.6496E-05,4.899E+00
-5.6480E-05,4.948E+00
-5.6464E-05,4.938E+00
-5.6448E-05,4.929E+00
-5.6432E-05,4.938E+00
-5.6416E-05,4.938E+00
-5.6400E-05,4.938E+00
-5.6384E-05,4.938E+00
-5.6368E-05,4.909E+00
-5.6352E-05,4.958E+00
-5.6336E-05,4.909E+00
-5.6320E-05,4.909E+00
-5.6304E-05,4.909E+00
-5.6288E-05,4.938E+00
-5.6272E-05,4.938E+00
-5.6256E-05,4.919E+00
-5.6240E-05,4.899E+00
-5.6224E-05,4.919E+00
-5.6208E-05,4.909E+00
-5.6192E-05,4.929E+00
-5.6176E-05,4.929E+00
-5.6160E-05,4.938E+00
-5.6144E-05,4.890E+00
-5.6128E-05,4.948E+00
-5.6112E-05,4.929E+00
-5.6096E-05,4.919E+00
-5.6080E-05,4.958E+00
-5.6064E-05,4.909E+00
-5.6048E-05,4.938E+00
-5.6032E-05,4.929E+00
-5.6016E-05,4.938E+00
-5.6000E-05,4.919E+00
-5.5984E-05,4.938E+00
-5.5968E-05,4.899E+00
-5.5952E-05,4.909E+00
-5.5936E-05,4.968E+00
-5.5920E-05,4.929E+00
-5.5904E-05,4.909E+00
-5.5888E-05,4.909E+00
-5.5872E-05,4.929E+00
-5.5856E-05,4.938E+00
-5.5840E-05,4.938E+00
-5.5824E-05,4.938E+00
-5.5808E-05,4.938E+00
-5.5792E-05,4.938E+00
-5.5776E-05,4.958E+00
-5.5760E-05,4.938E+00
-5.5744E-05,4.929E+00
-5.5728E-05,4.938E+00
-5.5712E-05,4.919E+00
-5.5696E-05,4.938E+00
-5.5680E-05,4.938E+00
-5.5664E-05,4.929E+00
-5.5648E-05,4.899E+00
-5.5632E-05,4.929E+00
-5.5616E-05,4.948E+00
-5.5600E-05,4.929E+00
-5.5584E-05,4.909E+00
-5.5568E-05,4.938E+00
-5.5552E-05,4.929E+00
-5.5536E-05,4.938E+00
-5.5520E-05,4.938E+00
-5.5504E-05,4.929E+00
-5.5488E-05,4.968E+00
-5.5472E-05,4.948E+00
-5.5456E-05,4.919E+00
-5.5440E-05,4.919E+00
-5.5424E-05,4.948E+00
-5.5408E-05,4.919E+00
-5.5392E-05,4.919E+00
-5.5376E-05,4.909E+00
-5.5360E-05,4.958E+00
-5.5344E-05,4.919E+00
-5.5328E-05,4.938E+00
-5.5312E-05,4.929E+00
-5.5296E-05,4.948E+00
-5.5280E-05,4.909E+00
-5.5264E-05,4.938E+00
-5.5248E-05,4.938E+00
-5.5232E-05,4.919E+00
-5.5216E-05,4.909E+00
-5.5200E-05,4.938E+00
-5.5184E-05,4.909E+00
-5.5168E-05,4.880E+00
-5.5152E-05,4.948E+00
-5.5136E-05,4.929E+00
-5.5120E-05,4.909E+00
-5.5104E-05,4.948E+00
-5.5088E-05,4.938E+00
-5.5072E-05,4.919E+00
-5.5056E-05,4.938E+00
-5.5040E-05,4.919E+00
-5.5024E-05,4.929E+00
-5.5008E-05,4.929E+00
-5.4992E-05,4.870E+00
-5.4976E-05,4.919E+00
-5.4960E-05,4.899E+00
-5.4944E-05,4.938E+00
-5.4928E-05,4.919E+00
-5.4912E-05,4.909E+00
-5.4896E-05,4.929E+00
-5.4880E-05,4.929E+00
-5.4864E-05,4.938E+00
-5.4848E-05,4.929E+00
-5.4832E-05,4.938E+00
-5.4816E-05,4.938E+00
-5.4800E-05,4.938E+00
-5.4784E-05,4.929E+00
-5.4768E-05,4.919E+00
-5.4752E-05,4.958E+00
-5.4736E-05,4.948E+00
-5.4720E-05,4.929E+00
-5.4704E-05,4.909E+00
-5.4688E-05,4.899E+00
-5.4672E-05,4.938E+00
-5.4656E-05,4.919E+00
-5.4640E-05,4.919E+00
-5.4624E-05,4.919E+00
-5.4608E-05,4.909E+00
-5.4592E-05,4.909E+00
-5.4576E-05,4.938E+00
-5.4560E-05,4.958E+00
-5.4544E-05,4.919E+00
-5.4528E-05,4.968E+00
-5.4512E-05,4.938E+00
-5.4496E-05,4.938E+00
-5.4480E-05,4.938E+00
-5.4464E-05,4.958E+00
-5.4448E-05,4.919E+00
-5.4432E-05,4.929E+00
-5.4416E-05,4.929E+00
-5.4400E-05,4.929E+00
-5.4384E-05,4.919E+00
-5.4368E-05,4.919E+00
-5.4352E-05,4.899E+00
-5.4336E-05,4.909E+00
-5.4320E-05,4.909E+00
-5.4304E-05,4.919E+00
-5.4288E-05,4.899E+00
-5.4272E-05,4.929E+00
-5.4256E-05,4.948E+00
-5.4240E-05,4.938E+00
-5.4224E-05,4.948E+00
-5.4208E-05,4.909E+00
-5.4192E-05,4.919E+00
